DateTime,Scheduled flights,Tracked flights
3/21/20,887,672
3/22/20,887,672
3/23/20,887,672
3/24/20,887,672
3/25/20,887,672
3/26/20,887,672
3/27/20,887,672
3/28/20,887,672
3/29/20,887,672
3/30/20,887,672
3/31/20,887,672
4/1/20,887,672
4/2/20,887,672
4/3/20,887,672
4/4/20,887,672
4/5/20,887,672
4/6/20,887,672
4/7/20,887,672
4/8/20,887,672
4/9/20,887,672
4/10/20,887,672
4/11/20,887,672
4/12/20,887,672
4/13/20,887,672
4/14/20,887,672
4/15/20,887,672
4/16/20,887,672
4/17/20,887,672
4/18/20,887,672
4/19/20,887,672